"No.","AI tool","Category","Best use","Useful student tasks","Free option","Skill level","URL"
"13","QuillBot","Writing","Paraphrasing and summarizing","Rephrase sentences, paraphrase essays, shorten long passages, generate summaries, check grammar, reword text, avoid plagiarism, rewrite paragraphs, simplify language, summarize articles","Yes, limited features","Beginner,Intermediate","https://quillbot.com"
"14","LanguageTool","Writing","Multilingual proofreading","Correct grammar, spelling, punctuation, and style in multiple languages, proofread text, multilingual writing check, non-native English writing help","Yes","Beginner,Intermediate","https://languagetool.org"
"15","Jenni AI","Writing","Academic writing support","Build essay drafts, write academic essays, organize references, autocomplete paragraphs, improve academic language, research paper writing, thesis writing, assignment writing, generate essay outline","Limited free plan","Intermediate,Advanced","https://jenni.ai"
"16","Paperpal","Writing","Academic English","Improve research papers, grammar correction, refine academic vocabulary, publication writing, journal article writing, academic proofreading, research manuscript improvement","Yes, limited features","Intermediate,Advanced","https://paperpal.com"
"17","Turnitin Draft Coach","Writing","Academic writing checks","Check similarity score, check citations, grammar check, plagiarism detection, academic integrity check","Usually institution-dependent","Intermediate,Advanced","https://www.turnitin.com"
"18","Gamma","Presentation","Fast AI presentation creation","Create PowerPoint-style presentations, turn outline into slides, generate slide deck from topic, DBMS project presentation, make presentation quickly, auto-design slides, export to PDF or PPT, presentation for college project, assignment presentation","Yes, limited credits","Beginner,Intermediate","https://gamma.app"
"19","Canva Magic Studio","Design","Presentations visual design and posters","Create slides, posters, infographics, diagrams, social media graphics, college fest poster, birthday invitation, flyer design, banner design, presentation design, visual project, thumbnail creation, certificate design","Yes, with paid features","Beginner,Intermediate","https://www.canva.com"
"20","Microsoft PowerPoint Copilot","Presentation","PowerPoint presentations","Convert document into PowerPoint slides, generate slide layouts, rewrite slide text, create speaker notes, make PPT presentation, DBMS presentation, project presentation slides, college presentation","Requires eligible Microsoft plan","Intermediate","https://www.microsoft.com/en-us/microsoft-365"
"21","Google Slides with Gemini","Presentation","Google-based presentations","Generate slide content for Google Slides, create presentation from topic, make slides for project, college presentation, academic presentation, class project slides","Availability depends on account","Beginner,Intermediate","https://workspace.google.com"
"22","Beautiful.ai","Presentation","Professional-looking slides","Auto-format presentation layouts, maintain slide design consistency, professional presentation, project presentation, smart slide design, business presentation","Limited trial/free access","Intermediate","https://www.beautiful.ai"
"23","Prezi AI","Presentation","Interactive presentations","Create non-linear interactive presentations, zooming presentations, visual storytelling, dynamic college presentation, engaging project presentation","Limited free option","Intermediate","https://prezi.com"
"24","Adobe Firefly","Design","Image generation and editing","Create illustrations, backgrounds, concept art, presentation visuals, generate images from text, digital art for projects, creative image editing","Limited free credits","Intermediate,Advanced","https://firefly.adobe.com"
"25","Microsoft Designer","Design","Posters and image creation","Create posters, thumbnails, social media graphics, invitations, AI image generation, college fest poster, event poster, banner, flyer, digital artwork","Yes, subject to limits","Beginner,Intermediate","https://designer.microsoft.com"
"26","Leonardo AI","Design","Detailed creative images","Generate illustrations, concept art, diagrams, visual project material, game assets, creative drawings, digital art, AI artwork","Limited free credits","Intermediate,Advanced","https://leonardo.ai"
"27","Ideogram","Design","Images containing text","Create posters with text, logos, title cards, banners, typography designs, event posters, college fest banner, text-based graphic design","Limited free plan","Beginner,Intermediate","https://ideogram.ai"
"28","Adobe Express AI","Design","Quick visual projects","Make posters, flyers, videos, social posts, simple presentation graphics, college event poster, quick design, infographic creation","Yes, limited features","Beginner,Intermediate","https://www.adobe.com/express"
"29","Wolfram Alpha","Mathematics","Mathematics and science calculations","Solve math equations, calculate formulas, plot graphs, check scientific results, solve calculus problems, algebra solver, geometry problems, statistics calculations, physics formulas, chemistry equations, step-by-step math solutions","Basic access available","Beginner,Intermediate,Advanced","https://www.wolframalpha.com"
"30","GitHub Copilot","Coding","Coding assistance","Generate code, explain error messages, complete functions, write test cases, learn programming, code suggestions, debug Python code, write JavaScript, complete assignments in coding, software project help","Free access may be available for verified students","Intermediate,Advanced","https://github.com/features/copilot"
"31","Replit AI","Coding","Browser-based coding with AI help","Write and run code in browser, debug code online, get code explanations, build projects without setup, Python coding, JavaScript coding, code for beginners, coding homework, programming practice","Yes, limited AI features","Beginner,Intermediate","https://replit.com"
"32","Tabnine","Coding","AI code completion","Autocomplete code intelligently, learn coding patterns, multi-language support, IDE integration, speed up coding, programming assistant","Yes, limited plan","Intermediate,Advanced","https://www.tabnine.com"
"33","Codeium","Coding","Free AI code assistant","Autocomplete code, explain functions, refactor code, supports 70+ languages, VS Code integration, free coding assistant, debug code, improve code quality, write cleaner code","Yes","Beginner,Intermediate,Advanced","https://codeium.com"
"34","Phind","Coding","Developer search and coding Q&A","Search for coding answers, debug errors, understand technical concepts with code examples, programming Q&A, fix coding bugs, learn how to code something","Yes","Intermediate,Advanced","https://www.phind.com"
"35","StackOverflow AI","Coding","Coding Q&A and documentation","Search coding answers, explain code snippets, troubleshoot bugs, find solutions, programming community help, fix code errors, coding reference","Yes","Beginner,Intermediate,Advanced","https://stackoverflow.com"
"36","Khanmigo","Mathematics","Math tutoring and concept explanation","Step-by-step math problem solving, algebra tutoring, calculus help, geometry lessons, statistics tutoring, math homework help, math concepts explained, math for beginners, learn mathematics","Yes, via Khan Academy","Beginner,Intermediate","https://www.khanmigo.ai"
"37","Photomath","Mathematics","Solving math problems from photos","Scan handwritten or printed math problems, get step-by-step solutions, arithmetic solver, algebra solver, calculus problems, math homework from photo, scan and solve math","Yes, with paid Plus plan","Beginner,Intermediate","https://photomath.com"
"38","Mathway","Mathematics","Math problem solver","Solve algebra, calculus, trigonometry, statistics, and other math problems step by step, math homework solver, calculus solver, equation solver, word problems, math solutions","Yes, limited step details","Beginner,Intermediate,Advanced","https://www.mathway.com"
"39","Symbolab","Mathematics","Step-by-step math solutions","Solve and practice calculus, algebra, matrices, trigonometry, statistics, differentiation, integration, limits, math step-by-step, math practice problems, exam preparation math","Yes, limited plan","Beginner,Intermediate,Advanced","https://www.symbolab.com"
"40","Duolingo Max","Language Learning","Language learning with AI","Practice conversations in French Spanish German Japanese, learn new language, grammar explanations, translate sentences, build vocabulary, language learning for beginners, learn a foreign language, practice speaking","Yes, limited features","Beginner,Intermediate","https://www.duolingo.com"
"41","Speak","Language Learning","English speaking practice","Practice speaking English, improve pronunciation, conversation practice, English fluency, spoken English improvement, accent reduction, IELTS speaking preparation, language confidence","Limited free trial","Beginner,Intermediate","https://www.speak.com"
"42","Otter.ai","Productivity","Lecture transcription and note-taking","Record and transcribe lectures automatically, transcribe audio to text, summarize meetings, transcribe class recordings, convert speech to text, auto-generate lecture notes, voice to text","Yes, limited monthly minutes","Beginner,Intermediate,Advanced","https://otter.ai"
"43","Notion AI","Productivity","Study notes and project planning","Generate summaries, create study plans, organize project notes, draft outlines, brainstorm topics, manage assignments, to-do lists, knowledge base, organize study material, schedule planning","Yes, limited AI actions","Beginner,Intermediate,Advanced","https://www.notion.so"
"44","Obsidian with AI plugins","Productivity","Personal knowledge management","Link and organize notes, build personal knowledge base, connect ideas across subjects, export study maps, long-term note organization, second brain for students","Yes, free core app","Intermediate,Advanced","https://obsidian.md"
"45","Mem.ai","Productivity","AI-powered note organization","Auto-organize notes, find related content, summarize, recall information quickly, smart note-taking, meeting notes, study notes","Limited free plan","Intermediate","https://mem.ai"
"46","Anki with AnkiGPT","Study Tools","Flashcard creation and spaced repetition","Generate flashcards from notes, spaced repetition study, test recall on any subject, memorize vocabulary, exam revision flashcards, create study cards, memorization tool","Yes","Beginner,Intermediate,Advanced","https://ankiweb.net"
"47","Quizlet AI","Study Tools","Flashcards and quizzes","Create AI flashcards, quiz yourself, multiple study modes, wrong answer explanations, study for exams, revision quizzes, vocabulary flashcards, test preparation","Yes, limited AI features","Beginner,Intermediate","https://quizlet.com"
"48","Socratic by Google","Study Tools","Homework help with visuals","Photograph homework problem, step-by-step explanations with diagrams, math homework help, science homework, literature questions, biology questions, chemistry help, physics problems","Yes","Beginner,Intermediate","https://socratic.org"
"49","Coursera AI","Online Learning","Online courses and skill building","Enroll in AI-recommended courses, university courses online, earn certificates, guided learning, data science courses, programming courses, business courses, skill development","Yes, audit available","Beginner,Intermediate,Advanced","https://www.coursera.org"
"50","Runway ML","Video & Media","AI video creation and editing","Generate short videos, apply style effects, remove video backgrounds, animate images, AI video editing, creative video project, short film, video for presentation","Limited free credits","Intermediate,Advanced","https://runwayml.com"
"51","Descript","Video & Media","Video and podcast editing","Transcribe audio and video, edit video by editing text, remove filler words, create study recordings, podcast editing, screen recording edit, interview transcription","Yes, limited plan","Intermediate","https://www.descript.com"
"52","ElevenLabs","Video & Media","Text-to-speech and audio creation","Convert notes or scripts to natural speech, text to voice, create audio study material, AI voiceover, audiobook creation, narrate presentation, speech synthesis","Yes, limited monthly characters","Intermediate,Advanced","https://elevenlabs.io"
"53","Murf AI","Video & Media","Voiceover creation","Generate realistic voiceovers for presentations, explainer videos, project demos, narrate slides, add voice to video, AI voice generation","Yes, limited features","Beginner,Intermediate","https://murf.ai"
"54","Pictory","Video & Media","Turn text into video","Convert blog posts, notes, scripts into short videos with visuals and narration, text to video, summarize content as video, study video creation","Limited free plan","Beginner,Intermediate","https://pictory.ai"
"55","Tome","Presentation","AI-powered storytelling and reports","Generate narrative presentations, reports, pitch decks, story presentations, visual reports, project report with slides, academic report presentation","Yes, limited credits","Beginner,Intermediate","https://tome.app"
"56","Miro AI","Collaboration","Visual collaboration and brainstorming","Create mind maps, flowcharts, brainstorm diagrams, group project boards, team collaboration, concept mapping, idea organization, project planning visual","Yes, limited plan","Beginner,Intermediate,Advanced","https://miro.com"
"57","Explain Like I'm 5","Study Tools","Simple concept explanation","Break down complex topics into simple language, beginner-friendly explanations, understand difficult subjects, explain any topic simply, ELI5, simplify concepts","Yes","Beginner","https://explainlikeimfive.io"
"58","Poe","General AI","Access multiple AI models","Chat with ChatGPT Claude Gemini in one place, compare AI responses, multi-model AI access, general purpose AI assistant, homework help, essay writing, coding help","Yes, limited messages","Beginner,Intermediate,Advanced","https://poe.com"
"59","Hugging Face","Coding","Open-source AI models and datasets","Explore open-source NLP vision audio models, academic ML projects, machine learning experiments, dataset exploration, fine-tune models, AI research projects","Yes","Intermediate,Advanced","https://huggingface.co"
"60","DeepL","Writing","High-quality translation","Translate documents essays research papers, high-accuracy translation, translate text between languages, multilingual document translation, academic translation, translate Hindi to English, translate notes","Yes, limited text length","Beginner,Intermediate,Advanced","https://www.deepl.com"
"61","Copilot in Excel","Productivity","Data analysis and spreadsheet tasks","Analyze data in Excel, create formulas, generate charts and graphs, summarize datasets, automate spreadsheet tasks, data visualization, statistics in Excel, Excel homework","Requires Microsoft 365 plan","Intermediate,Advanced","https://www.microsoft.com/en-us/microsoft-365"
"62","Taskade AI","Collaboration","AI project management and teamwork","Create tasks, generate outlines, manage group projects, run AI meetings, collaborate in real time, team assignments, project planning, meeting agenda","Yes, limited plan","Beginner,Intermediate","https://www.taskade.com"
"63","Mapify","Study Tools","Mindmaps from text or documents","Convert notes PDFs YouTube videos into interactive mind maps, visual learning, concept map creation, topic visualization, organize study material visually","Yes, limited credits","Beginner,Intermediate","https://mapify.so"
"64","Mindgrasp","Study Tools","Summarize and quiz from any document","Upload lecture slides PDFs videos URLs get summaries flashcards Q&A, auto-study from documents, understand uploaded content, quiz from notes","Limited free plan","Beginner,Intermediate","https://mindgrasp.ai"
"65","Explainpaper","Research","Understand complex research papers","Highlight confusing sections in papers get plain-language explanations, understand research papers, simplify academic papers, explain jargon in papers","Yes","Intermediate,Advanced","https://www.explainpaper.com"
"66","SciSpace","Research","Research paper reading and discovery","Read annotate explain chat with research papers, discover related literature, understand academic papers, paper summarization, academic reading tool","Yes, limited features","Intermediate,Advanced","https://typeset.io"
"67","Connected Papers","Research","Paper discovery and citation graph","Visualize graph of related research papers, find related academic work, citation network visualization, research topic map","Yes, limited graphs","Intermediate,Advanced","https://www.connectedpapers.com"
"68","Copy.ai","Writing","Creative writing and content drafting","Draft essays, brainstorm ideas, create persuasive text, write reports, social media posts, blog writing, creative writing, marketing copy, assignment drafting","Yes, limited credits","Beginner,Intermediate","https://www.copy.ai"
"69","Writesonic","Writing","Long-form writing and essays","Generate essays, blog posts, reports, academic content, long-form writing, write article, assignment writing, content generation, paragraph writing, essay drafting","Yes, limited words","Beginner,Intermediate","https://writesonic.com"
"70","Wordtune","Writing","Sentence rewriting and tone adjustment","Rewrite sentences, change writing tone formal or casual, shorten text, expand ideas, improve sentence structure, academic tone, paraphrase sentences","Yes, limited uses","Beginner,Intermediate,Advanced","https://www.wordtune.com"
"71","Hemingway App","Writing","Writing clarity and readability","Highlight complex sentences, detect passive voice, simplify writing, improve readability, writing feedback, clear writing check, essay simplification","Yes","Beginner,Intermediate,Advanced","https://hemingwayapp.com"
"72","Slides AI","Presentation","Slides from text or topic","Generate complete slide presentations from prompt, create presentation from text, topic to slides, make slides instantly, presentation generator, college project slides, quick presentation","Yes, limited slides","Beginner,Intermediate","https://www.slidesai.io"
"73","Decktopus AI","Presentation","Smart auto-designed presentations","Create professional slide decks, AI-suggested layouts, presentation themes, auto-design slides, DBMS project presentation, college presentation, project slides, presentation maker","Yes, limited plan","Beginner,Intermediate","https://www.decktopus.com"
"74","Stable Diffusion","Design","Custom image generation","Generate detailed AI images artwork, digital art for projects, creative image generation, poster artwork, concept illustration, AI art tool","Yes, via web apps","Intermediate,Advanced","https://stablediffusionweb.com"
"75","DALL-E 3","Design","Photorealistic and creative images","Create high-quality illustrations concept art graphics from text descriptions, AI image generation, visual content creation, generate picture from description","Via ChatGPT free tier","Beginner,Intermediate","https://openai.com/dall-e-3"
"76","Midjourney","Design","High-quality AI art and visuals","Generate stunning illustrations concept artwork visual designs, professional digital art, creative project visuals, high-quality AI image","Paid plan required","Intermediate,Advanced","https://www.midjourney.com"
"77","Cursor","Coding","AI-first code editor","Write edit refactor code with AI suggestions, inline code help, debugging assistant, auto-fix errors, coding with AI, programming editor, software development, fix code bugs","Yes, limited plan","Intermediate,Advanced","https://www.cursor.com"
"78","AWS CodeWhisperer","Coding","AWS and general code suggestions","Real-time AI code suggestions, security issue detection, auto-complete functions, cloud code development, AWS programming help","Yes, individual tier free","Intermediate,Advanced","https://aws.amazon.com/codewhisperer"
"79","Pieces for Developers","Coding","Code snippet management","Save search reuse code snippets, VS Code integration, JetBrains integration, organize code, code library, developer productivity","Yes","Intermediate,Advanced","https://pieces.app"
"80","Julius AI","Mathematics","Data analysis and math with AI","Run Python code, statistical analysis, create charts graphs, solve math problems, data science homework, analyze datasets, regression, probability, statistics project","Yes, limited plan","Intermediate,Advanced","https://julius.ai"
"81","Mathful","Mathematics","AI math problem solver","Solve algebra geometry calculus word problems step by step, math homework solver, show working, math explanations, exam math help","Yes","Beginner,Intermediate","https://mathful.com"
"82","Desmos","Mathematics","Graphing and visual math","Plot functions and equations graphically, visualize calculus statistics concepts, graph drawing, function plotter, algebra visualization, math graphing tool","Yes","Beginner,Intermediate,Advanced","https://www.desmos.com"
"83","HelloTalk","Language Learning","Language exchange with native speakers","Practice writing speaking with native speakers, real-time corrections, learn cultural context, foreign language practice, language partner, speak French Spanish Japanese","Yes, limited features","Beginner,Intermediate","https://www.hellotalk.com"
"84","Elsa Speak","Language Learning","English pronunciation practice","AI feedback on pronunciation accent fluency, improve spoken English, IELTS TOEFL speaking, English pronunciation coach","Yes, limited plan","Beginner,Intermediate","https://elsaspeak.com"
"85","Beelinguapp","Language Learning","Bilingual reading for language learning","Read stories in two languages simultaneously, audio support, vocabulary building in context, bilingual text, language immersion reading","Yes, limited content","Beginner,Intermediate","https://www.beelinguapp.com"
"86","Fireflies.ai","Productivity","Meeting and lecture notes","Record transcribe summarize online meetings, class sessions, lecture recordings, auto meeting notes, audio to text, online class transcription, auto notes from calls","Yes, limited transcripts","Beginner,Intermediate,Advanced","https://fireflies.ai"
"87","Motion","Productivity","AI schedule and task planning","Auto-schedule tasks assignments study sessions based on deadlines, time management, deadline tracker, academic planner, smart study schedule, prioritize work","Paid plan","Intermediate,Advanced","https://www.usemotion.com"
"88","Reclaim AI","Productivity","Smart calendar blocking","Automatically block study time in calendar, schedule study sessions, assignment deadline planner, time blocking for students, academic schedule management","Yes, limited plan","Intermediate,Advanced","https://reclaim.ai"
"89","Brainscape","Study Tools","Adaptive flashcard learning","Smart flashcards that adapt to performance, pre-made study decks, exam revision, spaced repetition, memorize subject content, test preparation flashcards","Yes, limited content","Beginner,Intermediate","https://www.brainscape.com"
"90","Knowt","Study Tools","Notes to flashcards and quizzes","Convert class notes PDFs into flashcards, practice tests, study guides instantly, auto-generate quiz from notes, exam preparation, notes to test","Yes","Beginner,Intermediate","https://knowt.com"
"91","StudyFetch","Study Tools","AI study set generation","Upload notes textbook generate flashcards quizzes summaries study guides, AI study assistant, auto-study material, exam study tool","Yes, limited features","Beginner,Intermediate","https://www.studyfetch.com"
"92","Suno AI","Video & Media","AI music creation","Generate original background music soundtracks for presentations videos projects, create music from text, AI song creation, instrumental background music","Yes, limited credits","Beginner,Intermediate","https://suno.ai"
"93","Lumen5","Video & Media","Video from blog posts or notes","Convert text-based content into video summaries with visuals and captions, article to video, notes to video, study video creation, explainer video","Yes, limited plan","Beginner,Intermediate","https://lumen5.com"
"94","Synthesia","Video & Media","AI presenter videos","Create professional explainer project videos with AI avatar reading script, video presentation, AI video presenter, project demo video, narrated slides as video","Limited free use","Intermediate","https://www.synthesia.io"
"95","edX AI","Online Learning","University-level online courses","Access AI-guided learning paths, university courses, earn certificates, data science programming business courses, free online courses, skill building","Yes, audit available","Beginner,Intermediate,Advanced","https://www.edx.org"
"96","LinkedIn Learning","Online Learning","Professional and technical skill courses","Learn software data science design communication business skills, career skills, professional development, certification courses, industry skills","Yes, one-month trial","Beginner,Intermediate,Advanced","https://www.linkedin.com/learning"
"97","Udemy","Online Learning","Affordable courses on any topic","Programming design data science marketing courses, affordable online learning, specific skill courses, learn at own pace, beginner courses, technical courses","Yes, some free courses","Beginner,Intermediate,Advanced","https://www.udemy.com"
